Name of school / Learning Center,School Latitude (Type the latitude),School Longitude (Type the longitude),Region (Select the appropriate Region 1 in the dropdown list),District (Select the appropriate District in the dropdown list),Village (Select the appropriate Village in the dropdown list),Urban/Rural/IDP,Latitude,Longitude,Type of School (Select the appropriate school type in the dropdown list),Type of Education (Select the appropriate educaion type in the dropdown list)
Ceelgardi primary school,7.263445,47.57587167,Mudug,Gaalkacyo,Gaalkacyo,Rural,6.651578,47.22737,Public School,Primary Education
Gaxandhaale primary schol,7.470855294,47.65419992,Mudug,Gaalkacyo,Gaalkacyo,Rural,6.651578,47.22737,Public School,Primary Education
Mindhiciraan primary school,7.387591667,47.82798833,Mudug,Gaalkacyo,Gaalkacyo,Rural,6.651578,47.22737,Public School,Primary Education
Bitale,6.701887683,47.8303004,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Public School,Primary and Secondary Education
Docol,6.435362818,47.48902073,Mudug,Gaalkacyo,Docol,Rural,6.9545,47.31886,Community School,Primary Education
Qorqora,6.740854857,47.69770305,Mudug,Gaalkacyo,Qarqoora,Rural,6.638229,47.514021,Community School,Primary Education
Horumar,6.764333333,47.43823167,Mudug,Gaalkacyo,Gaalkacyo/Hormar 1,Urban,6.787934,47.412085,Public School,Primary and Secondary Education
Xaarxaar,6.742255,47.42838167,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Public School,Primary and Secondary Education
Ahmed Binu Hanbal,6.64240507,46.952344,Mudug,Gaalkacyo,Dhardhar,Rural,6.607286,46.668085,Community School,Primary Education
Waberi,5.87150221,46.63681752,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Public School,Primary and Secondary Education
Dugsiga H/DHexe ee Alanley,6.432483,47.263063,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Public School,Primary Education
Mustaqbal Primary and Secondary School,6.412915,47.253757,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Community School,Primary Education
Dugsiga H/DHexe ee Xaarxaar,6.69508,47.43558,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Public School,Primary Education
Howlwadag Primary School,6.453431,47.264936,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Public School,Primary Education
Amoud Primary School,6.73064,47.43523,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Community School,Primary Education
Hormar Primary School,6.76451,47.43829,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Public School,Primary Education
Galkayo Primary school,6.75287,47.42286,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Private School,Primary Education
Deaf Primary School Galkacyo,6.76219,47.44523,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Community School,Primary Education
Gaheyr Primary School,6.451744,47.264237,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Public School,Primary Education
Mudug Primary School,6.755281,47.42016,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,Private School,Primary Education
Agaran,7.0575,47.490278,Mudug,Gaalkacyo,Abaarey,Rural,7.72972,49.06849,Public School,Primary and Secondary Education
Bardacad,6.768111,47.428306,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Public School,Primary Education
Ahmed guray,6.776833,47.429083,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Community School,Primary Education
NEZDO,6.77225,47.413972,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Community School,Primary Education
Orshe,6.834,47.421861,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,IDP School,Primary Education
Tayo,6.781,47.415944,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Community School,Primary Education
Ummadda,6.766333,47.428583,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,Public School,Primary Education
Wadajir,6.792889,47.386667,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,IDP School,Primary Education
Danwadag,6.837,47.417278,Mudug,Gaalkacyo,Gaalkacyo,IDP,6.651578,47.22737,IDP School,Primary Education
Shamsul Hudda,6.651578,47.22737,Mudug,Gaalkacyo,Gaalkacyo,Rural,6.651578,47.22737,Community School,Primary Education
Ibnu Abas,6.651578,47.22737,Mudug,Gaalkacyo,Gaalkacyo,Rural,6.651578,47.22737,Community School,Primary Education
Allanley,6.723901667,47.44126,Mudug,Gaalkacyo,Alanley IDP,Urban,7.14624,47.65646,IDP School,Primary Education
Qorqora,6.7385006,47.6226834,Mudug,Gaalkacyo,Gaalkacyo,Rural,6.651578,47.22737,Public School,Primary Education
Bandarqali,6.6254625,47.8451841,Mudug,Gaalkacyo,Gaalkacyo,Rural,6.651578,47.22737,Public School,Primary Education
Amoud,6.845927,47.424809,Mudug,Gaalkacyo,Gaalkacyo,Urban,6.651578,47.22737,IDP School,Primary Education
Bitaale,,,Mudug,Jariiban,Jariiban,Rural,7.1722,49.47342,Public School,Primary Education
Jilable,,,Mudug,Jariiban,Jidlabe,Rural,7.21345,48.85104,Public School,Primary Education
Madina Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Israac 3,Urban,6.774621,47.436126,Private School,Primary Education
mudug Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Israac 3,Urban,6.774621,47.436126,Private School,Primary Education
israac Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Israac 1,Urban,6.765203,47.431399,Private School,Primary Education
Ibnu Cabaas Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Garsoor Branch 3,Urban,6.766947,47.417517,Private School,Primary Education
Imaamu Shafici Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Garsoor Branch 3,Urban,6.766947,47.417517,Private School,Primary Education
Agoonta Qaran Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Garsoor Branch 4,Urban,6.771411,47.413778,Private School,Primary Education
Bahrul Ulum Primary School,,,Mudug,Galdogob,Galdogob,Urban,7.06284,47.13276,Private School,Primary Education
Herajale Primary School,,,Mudug,Galdogob,Galdogob,Urban,7.06284,47.13276,Private School,Primary Education
Imaamu Shaafici Primary School,,,Mudug,Galdogob,Galdogob,Urban,7.06284,47.13276,Private School,Primary Education
Midnimo primary school,,,Mudug,Galdogob,Bursaalax,Urban,6.949378,47.306352,Private School,Primary Education